,objid,ps_score,angDist,_RAJ2000,_DEJ2000,Filt1,Filt2,RAJ2000,DEJ2000,ABmag1,mag1,Errmag1,Field1,RA2deg,DE2deg,ABmag2,mag2,Errmag2,Field2,Sep,objID,RAJ2000.1,DEJ2000.1,errHalfMaj,errHalfMin,errPosAng,f_objID,Qual,Epoch,Ns,Nd,gmag,e_gmag,gKmag,e_gKmag,gFlags,rmag,e_rmag,rKmag,e_rKmag,rFlags,imag,e_imag,iKmag,e_iKmag,iFlags,zmag,e_zmag,zKmag,e_zKmag,zFlags,ymag,e_ymag,yKmag,e_yKmag,yFlags
8073,156820108047545088,0.9945833,0.39379,10.8048,40.6869,NUVN2,NUVB15,10.8048,40.6869,21.368,19.651,0.153,6,10.8048,40.687,19.965,18.465,0.116,6,0.28,156820108047545088,10.80475707,40.68700443,0.005,0.002,0,503635968,60,55983.37081019,5,66,16.744,0.0024,16.7966,0.0037,115000,16.2897,0.0038,16.3415,0.0036,115000,16.09,0.0026,16.1401,0.0028,115000,16.0121,0.0025,16.0601,0.0081,115000,15.9463,0.0036,15.9897,0.0103,115000
8074,157010092282105706,0.97108334,0.429082,9.2282,40.846,FUVCaF2,FUVSapphire,9.2282,40.846,22.533,20.132,0.178,18,9.2281,40.846,22.651,20.53,0.185,18,0.18,157010092282105706,9.22821289,40.84588121,0.007,0.003,90,503635968,60,56076.24994213,5,58,14.6923,0.0046,14.7398,0.0011,115000,14.4012,0.0012,14.4588,0.0021,115000,14.3094,0.0028,14.3698,0.0024,115000,14.3228,0.0029,14.3803,0.005,115000,14.3048,0.0022,14.3359,0.0044,115000
8076,156970098724137164,0.5727738,0.259396,9.8725,40.8137,FUVCaF2,FUVSapphire,9.8725,40.8137,22.333,19.932,0.12,"14, 17",9.8724,40.8137,23.038,20.917,0.155,"14, 17",0.27,156970098724137164,9.8724464,40.81364045,0.217,0.091,0,436527104,52,56064.69085648,3,13,21.5393,0.073,21.5779,0.1826,115000,21.827,0.0228,21.9091,0.0507,115000,,,,,114720,,,,,16416,,,,,16416
8080,157180100347443743,0.8693333,0.113057,10.0347,40.9859,FUVCaF2,FUVSapphire,10.0347,40.9859,21.332,18.931,0.113,17,10.0347,40.9859,21.156,19.035,0.094,17,0.17,157180100347443743,10.03473877,40.98591139,0.01,0.005,90,436527104,52,55918.70065972,10,65,19.6934,0.0128,19.6448,0.0324,115000,19.7001,0.0148,19.7267,0.0275,115000,19.8137,0.0113,19.8765,0.0212,115000,19.8935,0.0525,20.0345,0.1485,115000,19.9521,0.0546,20.3095,0.1,115000
8085,156830101046240264,0.7427976,0.182801,10.1047,40.6913,FUVCaF2,FUVSapphire,10.1047,40.6913,22.238,19.837,0.173,14,10.1047,40.6914,21.927,19.806,0.128,14,0.1,156830101046240264,10.1046476,40.69133162,0.086,0.04,0,436527104,52,55999.80769676,2,14,21.3704,0.1007,21.6562,0.0276,115000,21.7247,0.0486,21.9638,0.0881,115000,21.687,0.1855,,,16952,21.1747,0.0108,21.4189,0.111,16696,,,,,16416
8086,157010104156306795,0.9277143,0.492459,10.4155,40.8469,NUVN2,NUVB15,10.4155,40.8469,21.95,20.233,0.197,3,10.4157,40.8468,21.228,19.728,0.207,3,0.69,157010104156306795,10.41563932,40.84681279,0.01,0.004,0,436527104,52,55987.06733796,5,69,18.641,0.0094,18.3667,0.0144,16892216,18.3585,0.0059,18.3813,0.0189,16892216,18.2564,0.004,18.2665,0.0133,115000,18.2396,0.0082,18.3415,0.0152,115000,18.2231,0.0244,18.3653,0.0192,115000
8094,156970102822141207,0.52055556,0.819249,10.2821,40.8086,FUVCaF2,FUVSilica,10.2821,40.8086,20.082,17.681,0.065,3,10.2821,40.8088,19.734,21.721,0.084,3,0.65,156970102822141207,10.28216646,40.80882194,0.018,0.011,90,436527104,52,56034.21326389,5,49,19.5523,0.0127,19.5497,0.019,115000,19.7363,0.012,19.5687,0.0411,16892216,20.177,0.0194,20.4247,0.0399,115000,20.5848,0.1494,20.8703,0.3322,115000,,,,,114720
8100,157020101000039214,0.56049705,0.263115,10.1,40.8572,FUVCaF2,FUVSapphire,10.1,40.8572,22.42,20.019,0.175,14,10.1,40.8571,22.45,20.329,0.158,14,0.06,157020101000039214,10.10000762,40.85712714,0.035,0.024,0,436527104,52,55874.21756944,3,31,21.2897,0.0249,21.4128,0.0505,115000,21.2079,0.0349,21.1782,0.1195,115000,21.3792,0.1076,21.7786,0.2462,115000,,,,,16416,,,,,16416
8106,157180106594246884,0.5626905,0.577725,10.6593,40.9887,NUVN2,NUVB15,10.6593,40.9887,22.104,20.387,0.154,"3, 6",10.6593,40.9886,21.416,19.916,0.155,"3, 6",0.53,157180106594246884,10.6594194,40.98856722,0.027,0.016,0,436527104,52,55866.07494213,4,30,20.7536,0.0303,20.6056,0.0786,16892216,20.8446,0.0258,20.7633,0.0427,115000,20.9234,0.0531,20.9916,0.1683,115000,20.9416,0.1249,,,115000,,,,,16416
8107,157110099078653930,0.6141637,0.094026,9.9079,40.9277,FUVCaF2,FUVSapphire,9.9079,40.9277,21.894,19.493,0.144,17,9.9079,40.9278,21.643,19.522,0.112,17,0.08,157110099078653930,9.90789121,40.92772526,0.046,0.038,0,436527104,52,55713.16045139,3,16,21.4408,0.0715,21.675,0.0843,115000,21.5018,0.0902,21.6734,0.0735,115000,,,,,114720,,,,,16416,,,,,16416
